Cheese,,,,,,,
,,,,,,,
Date:,43138.56528,TTMS Job Match - Release / Availability,,,,,
,,,,,,,
AFSC,AWG,EAD,Organization ID/Owner,Seats Released,Seats Sold,Seats Remaining,Scheduled
1A931,FY17-AWG-45,8/8/2017,345-RS,1,0,1,24097560
1C131,FY17-AWG-49,5/9/2017,345-RS,1,0,1,24097757
1C531,FY17-AWG-47,22-08-2017,345-RS,1,0,1,24097668
1N331,FY17-AWG-45,8/8/2017,345-RS,2,0,2,24096409
1N331,FY17-AWG-49,5/9/2017,345-RS,2,0,2,24096411
2A534,FY17-AWG-45,8/8/2017,345-RS,1,0,1,24097557
2A534,FY17-AWG-49,5/9/2017,345-RS,1,0,1,24097766
2A631,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097734
2A632,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097735
2A634,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097727
2A636,FY17-AWG-49,5/9/2017,345-RS,1,0,1,24097769
2A733,FY17-AWG-47,22-08-2017,345-RS,1,0,1,24097684
2F031,FY17-AWG-47,22-08-2017,345-RS,1,0,1,24097689
2M031,FY17-AWG-49,5/9/2017,345-RS,1,0,1,24097774
2S031,FY17-AWG-47,22-08-2017,345-RS,1,0,1,24097690
2T031,FY17-AWG-46,15-08-2017,345-RS,1,0,1,24097633
2T231,FY17-AWG-45,8/8/2017,345-RS,1,0,1,24097586
2T231,FY17-AWG-49,5/9/2017,345-RS,1,0,1,24097777
2T331,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097743
2W031,FY17-AWG-45,8/8/2017,345-RS,1,0,1,24097588
2W031,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097744
2W131,FY17-AWG-46,15-08-2017,345-RS,1,0,1,24097621
3D032,FY17-AWG-49,5/9/2017,345-RS,2,1,1,24092683
3D132,FY17-AWG-47,22-08-2017,345-RS,1,0,1,24097697
3D132,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097748
3D133,FY17-AWG-45,8/8/2017,345-RS,1,0,1,24097572
3E331,FY17-AWG-45,8/8/2017,345-RS,1,0,1,24097595
3E531,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097755
3M031,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097718
3P031,FY17-AWG-45,8/8/2017,345-RS,4,1,3,24091840
3P031,FY17-AWG-46,15-08-2017,345-RS,4,1,3,24091849
3P031,FY17-AWG-47,22-08-2017,345-RS,4,0,4,24091872
3P031,FY17-AWG-48,29-08-2017,345-RS,3,0,3,24091884
3S031,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097709
4D031,FY17-AWG-46,15-08-2017,345-RS,1,0,1,24097211
4T031,FY17-AWG-45,8/8/2017,345-RS,1,0,1,24097602
6C031,FY17-AWG-44,1/8/2017,345-RS,1,0,1,24097164
9TA45,FY17-AWG-47,22-08-2017,345-RS,1,0,1,24097706
9TA45,FY17-AWG-49,5/9/2017,345-RS,1,0,1,24097787
9TE67,FY17-AWG-44,1/8/2017,345-RS,2,0,2,24097167
9TE67,FY17-AWG-45,8/8/2017,345-RS,1,0,1,24097606
9TE67,FY17-AWG-46,15-08-2017,345-RS,1,0,1,24097653
9TE67,FY17-AWG-47,22-08-2017,345-RS,1,0,1,24097707
9TE67,FY17-AWG-48,29-08-2017,345-RS,2,0,2,24097713
9TE67,FY17-AWG-49,5/9/2017,345-RS,1,0,1,24097788
9TG43,FY17-AWG-44,1/8/2017,345-RS,2,0,2,24097168
9TG43,FY17-AWG-45,8/8/2017,345-RS,1,0,1,24097607
9TG43,FY17-AWG-47,22-08-2017,345-RS,2,0,2,24097708
9TG43,FY17-AWG-49,5/9/2017,345-RS,1,0,1,24097789
9TG58,FY17-AWG-44,1/8/2017,345-RS,1,0,1,24097169
9TG58,FY17-AWG-46,15-08-2017,345-RS,1,0,1,24097655
9TG58,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097715
9TG58,FY17-AWG-49,5/9/2017,345-RS,1,0,1,24097790
9TG70,FY17-AWG-44,1/8/2017,345-RS,1,0,1,24097172
9TM44,FY17-AWG-44,1/8/2017,345-RS,3,0,3,24097173
9TM44,FY17-AWG-45,8/8/2017,345-RS,3,0,3,24097610
9TM44,FY17-AWG-47,22-08-2017,345-RS,4,0,4,24097662
9TM44,FY17-AWG-48,29-08-2017,345-RS,2,0,2,24097717
9TM44,FY17-AWG-49,5/9/2017,345-RS,3,0,3,24097792
9TM51,FY17-AWG-44,1/8/2017,345-RS,1,0,1,24097174
9TM51,FY17-AWG-47,22-08-2017,345-RS,1,0,1,24097663
9TM51,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097719
9TM55,FY17-AWG-45,8/8/2017,345-RS,1,0,1,24097612
9TM55,FY17-AWG-47,22-08-2017,345-RS,1,0,1,24097664
9TM55,FY17-AWG-48,29-08-2017,345-RS,1,0,1,24097720
